facil  ;sintaxe             ;Soma Simples        ;Leia dois valores inteiros, no caso para variaveis A e B. A seguir, calcule a soma entre elas e atribua a variavel SOMA. A seguir escrever o valor desta variavel.
facil  ;sintaxe             ;Area do Circulo     ;A formula para calcular a area de uma circunferencia e: area = PI . raio2. Considerando para este problema que PI = 3.14159: - Efetue o calculo da area, elevando o valor de raio ao quadrado e multiplicando por PI.
facil  ;sintaxe             ;Produto Simples     ;Leia dois valores inteiros. A seguir, calcule o produto entre estes dois valores e atribua esta operação a variavel PROD. A seguir mostre a variavel PROD.
facil  ;sintaxe             ;Media 1             ;Leia 2 valores de ponto flutuante de dupla precisao A e B, que correspondem a 2 notas de um aluno. A seguir, calcule a media do aluno, sabendo que a nota A tem peso 3.5 e a nota B tem peso 7.5 (A soma dos pesos portanto é 11). Assuma que cada nota pode ir de 0 até 10.0, sempre com uma casa decimal.
facil  ;sintaxe             ;Media 2             ;Leia 3 valores, no caso, variaveis A, B e C, que são as três notas de um aluno. A seguir, calcule a media do aluno, sabendo que a nota A tem peso 2, a nota B tem peso 3 e a nota C tem peso 5. Considere que cada nota pode ir de 0 ate 10.0, sempre com uma casa decimal.
facil  ;sintaxe             ;Diferenca           ;Leia quatro valores inteiros A, B, C e D. A seguir, calcule e mostre a diferenca do produto de A e B pelo produto de C e D segundo a formula: DIFERENCA = (A * B - C * D).
facil  ;sintaxe             ;Temperatura         ;Leia uma temperatura em graus Celsius e apresente-a convertida em graus Fahrenheit e em graus Kelvin. As formulas de conversao e: F = C*(9.0/5.0)+32.0 e K = C + 273.15,sendo F a temperatura em Fahrenheit e K a temperatura em Kelvin.
facil  ;sintaxe             ;Sucessor            ;Leia um número inteiro e imprima a soma do sucessor de seu triplo com o antecessor de seu dobro.
facil  ;sintaxe             ;Sucessor 2          ;Leia um número e imprima os seus dois antecessores e os seus cinco sucessores.
facil  ;sintaxe             ;Calculo Simples     ;Neste problema, deve-se ler o codigo de uma peca 1, o numero de pecas 1, o valor unitario de cada peca 1, o codigo de uma peca 2, o numero de pecas 2 e o valor unitario de cada peca 2. Apos, calcule e mostre o valor a ser pago.
facil  ;sintaxe             ;Quadrados           ;Dada uma sequencia de numeros inteiros nao-nulos, seguida por 0, imprimir seus quadrados.
medio  ;sintaxe             ;Area                ;Escreva um programa que leia tres valores com ponto flutuante de dupla precisao: A, B e C. Em seguida, calcule e mostre: a) a area do triangulo retangulo que tem A por base e C por altura. b) a area do circulo de raio C. (pi = 3.14159). c) a area do trapezio que tem A e B por bases e C por altura. d) a area do quadrado que tem lado B.e) a area do retangulo que tem lados A e B.
medio  ;sintaxe             ;Primeiros Multiplos ;Dados n e dois numeros inteiros positivos i e j diferentes de 0, imprimir em ordem crescente os n primeiros naturais que sao multiplos de i ou de j e ou de ambos.  Exemplo: Para n = 6 , i = 2 e j = 3 a saida devera ser : 0,2,3,4,6,8.
medio  ;sintaxe             ;Consumo             ;Calcule o consumo medio de um automovel sendo fornecidos a distancia total percorrida (em Km) e o total de combustivel gasto (em litros).
medio  ;sintaxe             ;Salario             ;Escreva um programa que leia o número de um funcionario, seu numero de horas trabalhadas, o valor que recebe por hora e calcula o salario desse funcionario. A seguir, mostre o numero e o salario do funcionario, com duas casas decimais.
medio  ;sintaxe             ;Salario com Bonus   ;Faca um programa que leia o nome de um vendedor, o seu salario fixo e o total de vendas efetuadas por ele no mes (em dinheiro). Sabendo que este vendedor ganha 15% de comissao sobre suas vendas efetuadas, informar o total a receber no final do mes, com duas casas decimais.
medio  ;sintaxe             ;Gasto de Combustivel;Joaozinho quer calcular e mostrar a quantidade de litros de combustivel gastos em uma viagem, ao utilizar um automovel que faz 12 KM/L. Para isso, ele gostaria que voce o auxiliasse atraves de um simples programa. Para efetuar o calculo, deve-se fornecer o tempo gasto na viagem (em horas) e a velocidade media durante a mesma (em km/h). Assim, pode-se obter distancia percorrida e, em seguida, calcular quantos litros seriam necessarios. Mostre o valor com 3 casas decimais apos o ponto.
medio  ;sintaxe             ;Esfera              ;Faca um programa que calcule e mostre o volume de uma esfera sendo fornecido o valor de seu raio (R). A formula para calcular o volume e: (4/3) * pi * R3. Considere (atribua) para pi o valor 3.14159.  Dica: Ao utilizar a formula, procure usar (4/3.0) ou (4.0/3), pois algumas linguagens (dentre elas o C++), assumem que o resultado da divisao entre dois inteiros e outro inteiro.
medio  ;sintaxe             ;Fatorial            ;Dado um inteiro nao-negativo n, determinar n!
medio  ;sintaxe             ;Numero Triangular   ;Dizemos que um numero natural e triangular se ele e produto de tres numeros naturais consecutivos. Exemplo: 120 e triangular, pois 4.5.6 = 120. Dado um inteiro nao-negativo n, verificar se n e triangular.
medio  ;sintaxe             ;Numero Primo        ;Dado um inteiro positivo n, verificar se n e primo.
